no,brand,photo_product,type,status,inventory_code,inventory_name,stock,score,other_candidates
21,Syngenta,Veyron,Domates,match,TŞ00363,VEYRON DOMATES TOHUMU,4.551,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
22,Altın Tohumculuk,Kanuni F1,Domates,match,TŞ00502,KANUNİ DOMATES TOHUMU,963,4,TŞ00696 NUN 03998 (AZOVİAN) DOMATES TOHUMU (83.392); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500)
23,Tofida,Ant F1,Domates,match,TŞ00289,KUANTUM DOMATES TOHUMU,1.940,3,TŞ01022 ANTSTAR HIYAR TOHUMU (7.104); TŞ00755 ARMANTY KARPUZ TOHUMU (14.121); TŞ00755 ARMANTY KARPUZ TOHUMU (14.121)
24,Delta Seed,Dolunay,Domates,match,TŞ00985,DOLUNAY  DOMATES TOHUMU,1.000,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
25,FMS Tohum,Leydi Rostr...,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
26,Clause,Auberty F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
27,Teta Tohum,Sencer F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
28,AD Tohum,E15A50619 F1,Domates,no_match,,,,1,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400); TŞ00400 7806 DOMATES TOHUMU (900)
29,Agro Caspian Seed,Lapçin F1,Domates,match,TŞ00056,LAPÇİN DOMATES TOHUMU,63.678,4,TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00176 454 DOMATES ANACI TOHUMU (103.400)
30,United Genetics,UG 4649 13 F1,Domates,match,TŞ00546,UG 464913 DOMATES TOHUMU,73.422,7,TŞ00546 UG 464913 DOMATES TOHUMU (73.422); TŞ00455 ROUGINA RZ F1 (74-511) DOMATES TOHUMU (284.613); TŞ00113 ZEUGMA KARPUZ TOHUMU (1.220)
31,Kuzey Tohum,Lerota F1,Domates,match,TŞ00912,LEROTA DOMATES TOHUMU,102.538,4,TŞ00912 LEROTA DOMATES TOHUMU (102.538); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500)
32,FMS Tohum,Besteros F1,Biber,no_match,,,,1,TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00034 ABİDE BİBER TOHUMU (2.352)
33,Vatan Tohum,Zümra,Kavun,match,TŞ00152,ZÜMRA KAVUN TOHUMU,32.434,4,TY00145 ANKA KAVUN TOHUMU (935); TŞ00215 BRAVOS KAVUN TOHUMU (33.844); TŞ00653 CANKIZ KAVUN TOHUMU (3.856)
34,Troya Seeds,Kuzu F1,Soğan,no_match,,,,2,
35,Petektar,Petekçitir,Hıyar,no_match,,,,1,TŞ00091 AMİSOS HIYAR TOHUMU (11.307); TŞ00091 AMİSOS HIYAR TOHUMU (11.307); TŞ01022 ANTSTAR HIYAR TOHUMU (7.104)
36,Nickerson-Zwaan,Menako F1,Biber,no_match,,,,1,TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00034 ABİDE BİBER TOHUMU (2.352)
37,Takii Seed,Çar Arık F1,Hıyar,match,TŞ00166,UÇAR HIYAR TOHUMU,4.100,3,TŞ00101 ACAR KABAK ANACI TOHUMU (6.280); TŞ00101 ACAR KABAK ANACI TOHUMU (6.280); TD00028 ACAR KABAK ANACI TOHUMU (2.502.500)
38,Top Seeds,Petri,Biber,no_match,,,,1,TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00034 ABİDE BİBER TOHUMU (2.352)
39,Nirvana Tohum,Örten...,Hıyar,no_match,,,,1,TŞ00091 AMİSOS HIYAR TOHUMU (11.307); TŞ00091 AMİSOS HIYAR TOHUMU (11.307); TŞ01022 ANTSTAR HIYAR TOHUMU (7.104)
40,Bejo,Zarurioza F1,Biber,no_match,,,,1,TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00980 ABK BİBER TOHUMU (1.000); TŞ00034 ABİDE BİBER TOHUMU (2.352)
41,İsabet,Y.28 (Fullcin) F1,Biber,match,TŞ01006,FULLCİN  BİBER TOHUMU,2.488,4,TŞ01006 FULLCİN  BİBER TOHUMU (2.488); TŞ00950 192868 DOMATES TOHUMU (500); TŞ00950 192868 DOMATES TOHUMU (500)
42,President Seeds,Beyonse,Fasulye,match,TŞ00708,BEYONSE BİBER TOHUMU,8.100,3,TŞ00714 ACI BEY BİBER TOHUMU (689); TŞ00714 ACI BEY BİBER TOHUMU (689); TŞ00136 DAVUT BEY KAVUN TOHUMU (6.829)
43,İTU Seeds,Vega Star F1,Hıyar,match,TY00815,VEGASTAR KARPUZ TOHUMU,34.178,4,TŞ01022 ANTSTAR HIYAR TOHUMU (7.104); TŞ00706 EMİRSTAR HIYAR TOHUMU (13.300); TŞ00391 FALCONSTAR (22 232)  HIYAR TOHUMU (56.750)
